,1995,2010,,,,,,,
EU15,20.62,22.43,,,,,,,
Australia,21.74,22.13,,,,,,,
Canada,20.62,21.16,,,,,,,
United States,21.22,20.31,,,,,,,
,,,,,,,,,
Luxembourg,22.96,35.32,,,,,,,
United Kingdom,27.77,28.09,,,,,,,
Denmark,20.40,27.32,,,,,,,
Sweden,20.38,26.49,,,,,,,
Finland,20.05,25.53,,,,,,,
Estonia,,24.12,,,,,,,
Norway,,24.11,,,,,,,
Slovenia,,24.01,,,,,,,
Ireland,14.53,23.99,,,,,,,
Switzerland,,23.60,,,,,,,
Netherlands,23.04,23.49,,,,,,,
Iceland,,22.99,,,,,,,
Czech Republic,18.64,22.81,,,,,,,
Belgium,18.68,22.73,,,,,,,
Germany,20.38,22.50,,,,,,,
Hungary,,22.47,,,,,,,
Austria,15.07,20.83,,,,,,,
Slovak Republic,,20.77,,,,,,,
France,18.63,20.72,,,,,,,
Italy,20.91,20.44,,,,,,,
Spain,15.81,19.52,,,,,,,
Poland,,19.47,,,,,,,
Greece,10.30,15.16,,,,,,,
Portugal,16.39,14.96,,,,,,,
Turkey,,10.86,,,,,,,
,,,,,,,,,
Lithuania,,26.9,,,,,,,
Malta,,26.3,,,,,,,
Latvia,,24.0,,,,,,,
Cyprus,,22.7,,,,,,,
Croatia,,16.1,,,,,,,
Bulgaria,,15.0,,,,,,,
Romania,,11.8,,,,,,,
FYR Macedonia,,9.4,,,,,,,
,,,,,,,,,
