,1995,2010,,,,,,,
Canada,3.03,4.39,,,,,,,
United States,3.29,4.00,,,,,,,
Australia,3.11,3.56,,,,,,,
EU15,2.61,3.35,,,,,,,
,,,,,,,,,
Sweden,3.87,5.43,,,,,,,
Switzerland,,5.04,,,,,,,
Czech Republic,3.90,4.74,,,,,,,
Norway,,4.71,,,,,,,
Finland,2.71,4.49,,,,,,,
Denmark,2.96,4.42,,,,,,,
Luxembourg,2.87,4.41,,,,,,,
Netherlands,3.28,4.03,,,,,,,
Germany,2.22,3.54,,,,,,,
Iceland,,3.50,,,,,,,
United Kingdom,2.92,3.33,,,,,,,
Estonia,,3.23,,,,,,,
Austria,2.53,3.17,,,,,,,
Belgium,2.07,3.14,,,,,,,
France,2.90,3.13,,,,,,,
Spain,2.22,3.07,,,,,,,
Italy,2.4,3.06,,,,,,,
Slovenia,,2.99,,,,,,,
Slovak Republic,,2.90,,,,,,,
Ireland,2.75,2.81,,,,,,,
Poland,,2.76,,,,,,,
Hungary,,2.67,,,,,,,
Portugal,2.84,2.62,,,,,,,
Greece,2.17,2.17,,,,,,,
Turkey,,1.65,,,,,,,
,,,,,,,,,
Cyprus,,3.08,,,,,,,
Malta,,2.86,,,,,,,
Latvia,,2.75,,,,,,,
Bulgaria,,2.40,,,,,,,
Romania,,2.33,,,,,,,
Croatia,,2.01,,,,,,,
Lithuania,,1.60,,,,,,,
FYR Macedonia,,1.53,,,,,,,
