country_code,Total
au,606.4
at,502.3
be,685.8
ca,1401.7
cl,5.2
cz,21.2
dk,295.3
ee,2.6
fi,1023.2
fr,4374.4
de,8917.8
gr,14.7
hu,48.8
is,6.7
ie,143.5
il,842.7
it,760.5
jp,45477.5
kr,5031
lu,22.9
mx,10.8
nl,3221.2
nz,60.1
no,196.5
pl,15
pt,5.3
sk,3.7
si,6.9
es,228.6
se,1435.1
ch,1345.5
tr,6.3
uk,3644.5
us,42325.6
dz,0
ad,1
ar,3.8
am,0.2
by,2.5
bm,0.3
br,33
bg,6.3
ky,0
cn,475.4
co,2.5
cr,1.1
hr,2.6
cu,4.9
cy,0.5
dj,0
ec,1
eg,3
sv,0
ge,0
gt,0
hk,61.9
in,154.1
id,5.9
ir,4.4
jm,1
jo,0
kz,0
ke,0
kp,0.6
kw,0.3
lv,1.9
lb,4.4
li,9.4
lt,22.4
mk,0
my,33.7
mt,2.3
mc,3.4
mn,0
ma,0.3
ng,0
pk,1.4
pa,0
pe,0.1
ph,7.8
pr,0
ro,5.8
ru,125
sa,1.7
sc,0
sg,306.6
za,24.1
lk,0.5
tw,245.1
th,8.5
tt,1
tn,1.7
ua,11.3
ae,3.2
uy,1.7
uz,1
ve,4.4
zw,0
