country.code,user_counts,total.labor,broad_it_labor,narrow_it_labor,patent_counts,user_to_total_labor,user_to_broad_labor,user_to_narrow_labor,user_to_patent
at,688,4272.882,890.0413206,135.4503594,502.3,0.161015446,0.772997819,5.079351602,1.369699383
au,4043,11867.71,2626.324223,422.490476,606.4,0.340672295,1.539413894,9.569446484,6.667216359
be,1122,4894.583,1112.538716,153.6899062,685.8,0.229233011,1.008504229,7.300414372,1.636045494
ca,5931,18525,3919.89,813.2475,1401.7,0.320161943,1.513052662,7.292982764,4.231290576
ch,900,NA,NA,NA,1345.5,NA,NA,NA,0.668896321
cz,595,5254.19,1198.480739,249.048606,21.2,0.113242955,0.496461879,2.389091871,28.06603774
de,4330,41495,9336.375,1468.923,8917.8,0.104349922,0.46377743,2.9477379,0.485545762
dk,1225,2877,785.9964,127.1634,295.3,0.425790754,1.558531311,9.633274983,4.148323739
es,1351,22983.44,4486.367488,705.591608,228.6,0.058781453,0.301134493,1.914705312,5.909886264
fi,685,2661.73,679.539669,119.511677,1023.2,0.257351422,1.008035338,5.731657502,0.669468335
fr,2398,28444,5893.5968,890.2972,4374.4,0.084306005,0.406882262,2.693482581,0.548189466
gr,421,5021.025,761.18739,108.9562425,14.7,0.083847422,0.553083256,3.863936479,28.63945578
hu,448,4229.903,950.4592041,112.9384101,48.8,0.105912594,0.471351109,3.966763828,9.180327869
ie,820,2144.4,514.44156,60.25764,143.5,0.382391345,1.593961421,13.60823291,5.714285714
is,133,180.9392,41.59792208,6.332872,6.7,0.735053543,3.197275089,21.0015298,19.85074627
it,1402,24714.17,5051.576348,756.253602,760.5,0.056728589,0.27753713,1.853875468,1.843523997
lu,42,372.2204,131.4682453,16.41491964,22.9,0.112836373,0.319468781,2.55864792,1.834061135
nl,2377,8760,2057.724,353.028,3221.2,0.271347032,1.155159778,6.733176972,0.737923755
no,1180,2588,623.9668,121.8948,196.5,0.455950541,1.891126259,9.680478577,6.005089059
pl,1503,17660,3438.402,487.416,15,0.085107588,0.437121663,3.083608252,100.2
pt,706,5555.3,831.07288,145.54886,5.3,0.127085846,0.849504318,4.850604807,133.2075472
se,2395,4962,1314.4338,269.4366,1435.1,0.482668279,1.822077308,8.88891858,1.668873249
sk,134,2706.5,562.14005,78.4885,3.7,0.049510438,0.238374761,1.707256477,36.21621622
tr,691,25641,2784.6126,423.0765,6.3,0.026949027,0.248149419,1.633274361,109.6825397
us,40540,153889,31254.8559,6155.56,42325.6,0.263436633,1.297078449,6.585915822,0.957812766
